COD_RIP,COD_REG,DEN_REG,Shape_Leng,Shape_Area,NUMCLUSTER
1,1,Piemonte,1234644.01493000006,25391636805.50000000000,235.000000000000000
1,2,Valle d'Aosta,311187.14991600002,3258608423.92999935150,29.000000000000000
1,3,Lombardia,1411360.47580999997,23862867853.29999923706,465.000000000000000
2,4,Trentino-Alto Adige,800731.66191899998,13605964490.50000190735,128.000000000000000
2,5,Veneto,1056503.58204000001,18351494741.09999847412,437.000000000000000
2,6,Friuli-Venezia Giulia,659341.08325300005,7936833767.69999980927,170.000000000000000
1,7,Liguria,821916.46855800005,5417714496.68999958038,51.000000000000000
2,8,Emilia-Romagna,1176991.66837999993,22501817675.90000152588,215.000000000000000
3,9,Toscana,1304649.60394999990,22985007078.50000000000,152.000000000000000
3,10,Umbria,619404.57108300005,8463968722.17000007629,32.000000000000000
3,11,Marche,618848.32843600004,9344542629.09000015259,30.000000000000000
3,12,Lazio,1056599.43999999994,17236487921.20000076294,114.000000000000000
4,13,Abruzzo,613572.80152099999,10828888286.10000038147,44.000000000000000
4,14,Molise,433630.82851000002,4459797834.27999973297,17.000000000000000
4,15,Campania,890506.46453600004,13667847424.50000000000,46.000000000000000
4,16,Puglia,1182953.11177999992,19541033601.09999847412,59.000000000000000
4,17,Basilicata,613038.36270699999,10071594221.50000000000,5.000000000000000
4,18,Calabria,847415.62434300000,15212651631.10000038147,71.000000000000000
5,19,Sicilia,1344687.69115000009,25824319687.59999465942,241.000000000000000
5,20,Sardegna,1449230.54456999991,24106296672.00000000000,10.000000000000000
